price,manufacturer,condition,fuel,odometer,title_status,transmission,drive,type,paint_color,state,cylinders_num,vehicle age
23990,ford,excellent,gas,60000.0,clean,automatic,4wd,pickup,blue,mt,6,3
12695,chrysler,good,gas,96998.0,clean,automatic,fwd,van,blue,ar,6,5
11988,honda,Unknown,gas,105633.28297341273,clean,automatic,Unknown,Unknown,white,ca,6,10
4444,jeep,excellent,gas,161718.0,clean,automatic,4wd,SUV,silver,il,6,16
54249,ford,Unknown,diesel,66803.36516734918,clean,automatic,Unknown,Unknown,white,ca,6,1
6800,ford,excellent,gas,225000.0,clean,automatic,4wd,Unknown,white,mn,8,13
54980,ford,Unknown,gas,1377.0,clean,automatic,Unknown,pickup,green,nv,6,72
4999,lincoln,excellent,gas,104939.0,clean,automatic,rwd,Unknown,white,fl,8,16
4950,chevrolet,excellent,gas,86000.0,rebuilt,automatic,fwd,sedan,black,ia,4,6
3997,honda,excellent,gas,242540.0,clean,automatic,fwd,SUV,white,va,4,12
5985,nissan,good,gas,70000.0,clean,automatic,Unknown,Unknown,white,ct,4,7
11500,volkswagen,excellent,diesel,47127.0,clean,manual,fwd,wagon,black,fl,4,9
23950,chevrolet,excellent,gas,89003.0,clean,automatic,4wd,truck,black,wa,8,6
18000,dodge,like new,diesel,108821.0,clean,automatic,4wd,truck,red,sd,6,26
2200,nissan,Unknown,gas,188000.0,clean,automatic,Unknown,Unknown,white,ok,6,19
14875,mini,Unknown,gas,24142.0,clean,automatic,fwd,coupe,black,hi,4,5
15995,chevrolet,good,gas,196695.0,clean,automatic,4wd,truck,white,al,8,8
8995,chevrolet,excellent,gas,143468.0,clean,automatic,4wd,SUV,white,wi,6,8
14500,toyota,like new,gas,81542.0,clean,automatic,fwd,sedan,silver,ca,4,3
1500,kia,Unknown,gas,101318.97273792402,clean,automatic,Unknown,Unknown,white,fl,6,9
12499,kia,Unknown,gas,17617.0,clean,automatic,fwd,sedan,silver,id,6,2
35999,ram,Unknown,diesel,129010.0,clean,automatic,4wd,pickup,black,nj,6,6
3650,ford,like new,gas,220610.0,clean,automatic,4wd,SUV,red,ks,8,14
6987,chevrolet,good,gas,152208.0,clean,automatic,4wd,SUV,black,mt,6,10
6250,chevrolet,good,gas,26976.0,rebuilt,automatic,fwd,sedan,silver,vt,6,9
4995,ford,good,gas,58000.0,clean,automatic,Unknown,coupe,green,ct,8,48
6300,buick,excellent,gas,96255.61428123056,clean,automatic,Unknown,Unknown,blue,mi,4,9
600,ford,excellent,gas,126000.0,clean,automatic,4wd,pickup,grey,ma,8,11
3995,jeep,good,gas,182543.5658882016,clean,manual,4wd,Unknown,red,sc,4,29
28400,ford,good,gas,15095.0,clean,other,Unknown,pickup,white,nm,6,4
3000,bmw,good,gas,127954.26245286955,clean,automatic,rwd,sedan,black,nc,8,14
5000,chevrolet,Unknown,diesel,122890.92706133134,clean,automatic,Unknown,Unknown,white,pa,6,14
5995,ford,Unknown,gas,101318.93571011226,clean,automatic,Unknown,Unknown,white,mi,6,9
6800,toyota,good,gas,137000.0,clean,automatic,4wd,SUV,silver,oh,6,12
20750,chevrolet,excellent,gas,24478.0,clean,automatic,4wd,SUV,white,mo,4,2
10952,mini,Unknown,gas,43806.0,clean,automatic,fwd,coupe,blue,az,4,7
1200,honda,good,gas,190500.0,clean,automatic,Unknown,other,silver,ma,4,16
3750,jeep,good,gas,181000.0,clean,automatic,4wd,SUV,black,oh,8,15
27490,ram,good,gas,84012.0,clean,other,4wd,Unknown,white,ms,8,8
3200,toyota,Unknown,gas,226000.0,clean,automatic,Unknown,Unknown,white,ca,4,15
20999,ford,excellent,gas,29522.0,clean,automatic,4wd,SUV,brown,mn,4,3
12995,nissan,excellent,gas,71818.0,clean,automatic,fwd,sedan,black,ca,6,5
20300,jeep,good,gas,28568.0,clean,other,4wd,other,white,mi,6,4
1899,volvo,Unknown,gas,199000.0,clean,automatic,Unknown,Unknown,white,ct,5,13
6500,nissan,like new,gas,86443.0,clean,automatic,4wd,SUV,black,ny,4,9
9649,chevrolet,Unknown,gas,173203.0,clean,automatic,Unknown,SUV,white,nm,6,13
19900,ford,Unknown,gas,72859.0,clean,automatic,rwd,Unknown,white,ms,8,6
1500,hyundai,good,gas,160500.0,salvage,automatic,fwd,sedan,red,oh,4,12
20990,toyota,good,gas,51109.0,clean,automatic,4wd,truck,red,or,8,13
7995,lincoln,Unknown,gas,145291.0,clean,automatic,Unknown,SUV,blue,ky,6,10
26000,toyota,Unknown,other,75432.39113199372,clean,other,Unknown,Unknown,white,tx,6,3
1,infiniti,excellent,gas,37630.0,clean,automatic,4wd,SUV,white,fl,6,4
2200,honda,Unknown,gas,140.0,clean,automatic,Unknown,Unknown,white,ca,4,23
6700,honda,excellent,gas,64472.0,clean,automatic,fwd,hatchback,blue,co,4,9
15988,chevrolet,excellent,gas,66991.0,clean,automatic,fwd,sedan,white,mn,6,3
3956,toyota,good,other,203229.0,clean,automatic,Unknown,mini-van,silver,ar,6,15
16999,mercedes-benz,excellent,gas,83000.0,clean,automatic,Unknown,convertible,white,ca,6,8
19999,jeep,excellent,gas,94824.0,clean,automatic,4wd,SUV,white,wa,6,11
6995,pontiac,excellent,gas,92974.0,clean,automatic,rwd,coupe,black,ok,4,12
18700,volkswagen,good,gas,18701.0,clean,automatic,fwd,sedan,white,fl,6,3
2475,kia,Unknown,gas,150000.0,clean,automatic,Unknown,Unknown,white,wa,6,15
1988,kia,Unknown,gas,131519.74513478894,clean,automatic,Unknown,Unknown,white,ks,6,16
16999,ford,good,gas,133640.0,clean,automatic,4wd,truck,white,va,6,9
1800,toyota,fair,gas,118576.55679053851,clean,automatic,Unknown,sedan,blue,sc,6,13
29205,chevrolet,Unknown,gas,26879.0,clean,automatic,4wd,pickup,white,mo,6,2
20499,ram,Unknown,gas,91272.0,clean,automatic,4wd,truck,white,wa,6,9
6684,dodge,Unknown,gas,110063.0,clean,automatic,fwd,sedan,silver,mo,6,7
20000,chevrolet,excellent,gas,84555.0,clean,automatic,4wd,pickup,black,ia,8,7
30990,ford,Unknown,gas,26293.0,clean,automatic,4wd,Unknown,white,mn,6,3
11995,audi,good,diesel,80075.0,clean,automatic,rwd,hatchback,grey,ca,4,9
19997,mini,Unknown,gas,47039.0,clean,automatic,4wd,wagon,white,or,4,6
11995,chevrolet,excellent,gas,182.0,clean,automatic,4wd,SUV,red,id,8,12
